Ugur,Year,State,Variable,Value
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,Döwlet dahylsyz,Işden çykanlaryň sany,1700.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,3348.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,180.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,JEMI,Işgärleriň sany,36400.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,JEMI,Ý.B. Işgärleriň sany,6573.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,JEMI,Kabul edilen ÝBI sany,835.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,149.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,JEMI,ÝOM tamamlanlar,500.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,76.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,JEMI,ÝOM kwota,1480.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,JEMI,Döredilen ýuridik şahslar,6.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,JEMI,Ortaça aýlyk haky,3467.0
3.Işläp bejerýän önümçilikler, 2020,Döwlet,Işe kabul edilenleriň sany,19800.0
3.Işläp bejerýän önümçilikler, 2020,Döwlet,Ý.B. Işgärleriň sany,6871.0
3.Işläp bejerýän önümçilikler,2020,Döwlet,Işgärleriň sany,77200.0
3.Işläp bejerýän önümçilikler,2020,Döwlet,Işden çykanlaryň sany,16300.0
3.Işläp bejerýän önümçilikler,2020,Döwlet,Ý.B. Işgärler göterimde %,
3.Işläp bejerýän önümçilikler,2020,Döwlet,Kabul edilen ÝBI sany,1762.0
3.Işläp bejerýän önümçilikler,2020,Döwlet dahylsyz,Işgärleriň sany,15600.0
3.Işläp bejerýän önümçilikler,2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,8200.0
3.Işläp bejerýän önümçilikler,2020,Döwlet dahylsyz,Işden çykanlaryň sany,6100.0
3.Işläp bejerýän önümçilikler,2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
3.Işläp bejerýän önümçilikler,2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,2387.0
3.Işläp bejerýän önümçilikler,2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,1255.0
3.Işläp bejerýän önümçilikler,2020,JEMI,Işgärleriň sany,92800.0
3.Işläp bejerýän önümçilikler,2020,JEMI,Ý.B. Işgärleriň sany,9258.0
3.Işläp bejerýän önümçilikler,2020,JEMI,Kabul edilen ÝBI sany,3017.0
3.Işläp bejerýän önümçilikler,2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
3.Işläp bejerýän önümçilikler,2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,210.0
3.Işläp bejerýän önümçilikler,2020,JEMI,ÝOM tamamlanlar,200.0
3.Işläp bejerýän önümçilikler,2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,117.0
3.Işläp bejerýän önümçilikler,2020,JEMI,ÝOM kwota,550.0
3.Işläp bejerýän önümçilikler,2020,JEMI,Döredilen ýuridik şahslar,170.0
3.Işläp bejerýän önümçilikler,2020,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,6204.0
3.Işläp bejerýän önümçilikler,2020,JEMI,Ortaça aýlyk haky,1954.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek", 2020,Döwlet,Işe kabul edilenleriň sany,4100.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek", 2020,Döwlet,Ý.B. Işgärleriň sany,3074.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,Döwlet,Işgärleriň sany,25200.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,Döwlet,Işden çykanlaryň sany,3900.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,Döwlet,Ý.B. Işgärler göterimde %,
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,Döwlet,Kabul edilen ÝBI sany,500.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,JEMI,Işgärleriň sany,25200.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,JEMI,Ý.B. Işgärleriň sany,3074.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,JEMI,Kabul edilen ÝBI sany,500.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,70.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,JEMI,ÝOM tamamlanlar,300.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,13.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,JEMI,ÝOM kwota,600.0
"4.Elektrik energiýasy, gaz, bug bilen üpjün etmek we howany kondisionirlemek",2020,JEMI,Ortaça aýlyk haky,2003.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak", 2020,Döwlet,Işe kabul edilenleriň sany,1100.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak", 2020,Döwlet,Ý.B. Işgärleriň sany,737.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,Döwlet,Işgärleriň sany,12700.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,Döwlet,Işden çykanlaryň sany,700.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,Döwlet,Ý.B. Işgärler göterimde %,
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,Döwlet,Kabul edilen ÝBI sany,64.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,Döwlet dahylsyz,Işgärleriň sany,100.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,100.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,16.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,16.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,JEMI,Işgärleriň sany,12800.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,JEMI,Ý.B. Işgärleriň sany,753.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,JEMI,Kabul edilen ÝBI sany,80.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,17.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,JEMI,ÝOM tamamlanlar,50.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,4.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,JEMI,ÝOM kwota,65.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,JEMI,Döredilen ýuridik şahslar,3.0
"5.Suw üpjünçiligi, galyndylary arassalamak, gaýtadan işlemek we ikinji çig maly almak",2020,JEMI,Ortaça aýlyk haky,1719.0
6.Gurluşyk , 2020,Döwlet,Işe kabul edilenleriň sany,9600.0
6.Gurluşyk , 2020,Döwlet,Ý.B. Işgärleriň sany,2644.0
6.Gurluşyk ,2020,Döwlet,Işgärleriň sany,33900.0
6.Gurluşyk ,2020,Döwlet,Işden çykanlaryň sany,9000.0
6.Gurluşyk ,2020,Döwlet,Ý.B. Işgärler göterimde %,
6.Gurluşyk ,2020,Döwlet,Kabul edilen ÝBI sany,749.0
6.Gurluşyk ,2020,Döwlet dahylsyz,Işgärleriň sany,42000.0
6.Gurluşyk ,2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,35300.0
6.Gurluşyk ,2020,Döwlet dahylsyz,Işden çykanlaryň sany,35100.0
6.Gurluşyk ,2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
6.Gurluşyk ,2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,5880.0
6.Gurluşyk ,2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,4942.0
6.Gurluşyk ,2020,JEMI,Işgärleriň sany,75900.0
6.Gurluşyk ,2020,JEMI,Ý.B. Işgärleriň sany,8524.0
6.Gurluşyk ,2020,JEMI,Kabul edilen ÝBI sany,5691.0
6.Gurluşyk ,2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
6.Gurluşyk ,2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,193.0
6.Gurluşyk ,2020,JEMI,ÝOM tamamlanlar,300.0
6.Gurluşyk ,2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,65.0
6.Gurluşyk ,2020,JEMI,ÝOM kwota,720.0
6.Gurluşyk ,2020,JEMI,Döredilen ýuridik şahslar,220.0
6.Gurluşyk ,2020,JEMI,Ortaça aýlyk haky,1682.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak , 2020,Döwlet,Işe kabul edilenleriň sany,5200.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak , 2020,Döwlet,Ý.B. Işgärleriň sany,3008.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,Döwlet,Işgärleriň sany,23500.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,Döwlet,Işden çykanlaryň sany,4500.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,Döwlet,Ý.B. Işgärler göterimde %,
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,Döwlet,Kabul edilen ÝBI sany,666.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,Döwlet dahylsyz,Işgärleriň sany,13500.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,12300.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,Döwlet dahylsyz,Işden çykanlaryň sany,10300.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,3753.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,3419.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,Işgärleriň sany,37000.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,Ý.B. Işgärleriň sany,6761.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,Kabul edilen ÝBI sany,4085.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,153.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,ÝOM tamamlanlar,200.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,43.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,ÝOM kwota,720.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,Döredilen ýuridik şahslar,213.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,59567.0
7.Lomaý we bölek satuw söwdasy; awtomobilleri we motosiklleri abatlamak ,2020,JEMI,Ortaça aýlyk haky,1527.0
8.Ulag işleri we ýükleri saklamak, 2020,Döwlet,Işe kabul edilenleriň sany,14700.0
8.Ulag işleri we ýükleri saklamak, 2020,Döwlet,Ý.B. Işgärleriň sany,4814.0
8.Ulag işleri we ýükleri saklamak,2020,Döwlet,Işgärleriň sany,42600.0
8.Ulag işleri we ýükleri saklamak,2020,Döwlet,Işden çykanlaryň sany,6200.0
8.Ulag işleri we ýükleri saklamak,2020,Döwlet,Ý.B. Işgärler göterimde %,
8.Ulag işleri we ýükleri saklamak,2020,Döwlet,Kabul edilen ÝBI sany,1661.0
8.Ulag işleri we ýükleri saklamak,2020,Döwlet dahylsyz,Işgärleriň sany,6500.0
8.Ulag işleri we ýükleri saklamak,2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,2300.0
8.Ulag işleri we ýükleri saklamak,2020,Döwlet dahylsyz,Işden çykanlaryň sany,2100.0
8.Ulag işleri we ýükleri saklamak,2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
8.Ulag işleri we ýükleri saklamak,2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,1294.0
8.Ulag işleri we ýükleri saklamak,2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,458.0
8.Ulag işleri we ýükleri saklamak,2020,JEMI,Işgärleriň sany,49100.0
8.Ulag işleri we ýükleri saklamak,2020,JEMI,Ý.B. Işgärleriň sany,6107.0
8.Ulag işleri we ýükleri saklamak,2020,JEMI,Kabul edilen ÝBI sany,2119.0
8.Ulag işleri we ýükleri saklamak,2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
8.Ulag işleri we ýükleri saklamak,2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,138.0
8.Ulag işleri we ýükleri saklamak,2020,JEMI,ÝOM tamamlanlar,300.0
8.Ulag işleri we ýükleri saklamak,2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,75.0
8.Ulag işleri we ýükleri saklamak,2020,JEMI,ÝOM kwota,600.0
8.Ulag işleri we ýükleri saklamak,2020,JEMI,Döredilen ýuridik şahslar,101.0
8.Ulag işleri we ýükleri saklamak,2020,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,3904.0
8.Ulag işleri we ýükleri saklamak,2020,JEMI,Ortaça aýlyk haky,1856.0
9.Myhmanhanalaryň we restoranlaryň işleri, 2020,Döwlet,Işe kabul edilenleriň sany,2000.0
9.Myhmanhanalaryň we restoranlaryň işleri, 2020,Döwlet,Ý.B. Işgärleriň sany,418.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,Döwlet,Işgärleriň sany,4100.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,Döwlet,Işden çykanlaryň sany,2200.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,Döwlet,Ý.B. Işgärler göterimde %,
9.Myhmanhanalaryň we restoranlaryň işleri,2020,Döwlet,Kabul edilen ÝBI sany,204.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,Döwlet dahylsyz,Işgärleriň sany,1100.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,500.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,Döwlet dahylsyz,Işden çykanlaryň sany,500.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
9.Myhmanhanalaryň we restoranlaryň işleri,2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,150.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,68.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,JEMI,Işgärleriň sany,5200.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,JEMI,Ý.B. Işgärleriň sany,568.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,JEMI,Kabul edilen ÝBI sany,272.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
9.Myhmanhanalaryň we restoranlaryň işleri,2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,13.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,JEMI,ÝOM tamamlanlar,50.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,7.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,JEMI,ÝOM kwota,34.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,JEMI,Döredilen ýuridik şahslar,9.0
9.Myhmanhanalaryň we restoranlaryň işleri,2020,JEMI,Ortaça aýlyk haky,1517.0
10.Habar beriş serişdeleri we aragatnaşyk, 2020,Döwlet,Işe kabul edilenleriň sany,3100.0
10.Habar beriş serişdeleri we aragatnaşyk, 2020,Döwlet,Ý.B. Işgärleriň sany,3477.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,Döwlet,Işgärleriň sany,17300.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,Döwlet,Işden çykanlaryň sany,1600.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,Döwlet,Ý.B. Işgärler göterimde %,
10.Habar beriş serişdeleri we aragatnaşyk,2020,Döwlet,Kabul edilen ÝBI sany,623.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,Döwlet dahylsyz,Işgärleriň sany,2300.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,200.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,Döwlet dahylsyz,Işden çykanlaryň sany,500.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
10.Habar beriş serişdeleri we aragatnaşyk,2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,1044.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,91.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,Işgärleriň sany,19600.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,Ý.B. Işgärleriň sany,4522.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,Kabul edilen ÝBI sany,714.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,102.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,ÝOM tamamlanlar,300.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,64.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,ÝOM kwota,1237.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,Döredilen ýuridik şahslar,27.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,167.0
10.Habar beriş serişdeleri we aragatnaşyk,2020,JEMI,Ortaça aýlyk haky,1892.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak, 2020,Döwlet,Işe kabul edilenleriň sany,2300.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak, 2020,Döwlet,Ý.B. Işgärleriň sany,4981.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,Döwlet,Işgärleriň sany,10900.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,Döwlet,Işden çykanlaryň sany,2000.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,Döwlet,Ý.B. Işgärler göterimde %,
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,Döwlet,Kabul edilen ÝBI sany,1051.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,Döwlet dahylsyz,Işgärleriň sany,100.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,46.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,JEMI,Işgärleriň sany,11000.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,JEMI,Ý.B. Işgärleriň sany,5027.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,JEMI,Kabul edilen ÝBI sany,1051.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,114.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,JEMI,ÝOM tamamlanlar,100.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,412.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,JEMI,ÝOM kwota,440.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,JEMI,Döredilen ýuridik şahslar,2.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2020,JEMI,Ortaça aýlyk haky,2148.0
12.Gozgalmaýan emläk bilen bagly amallar, 2020,Döwlet,Işe kabul edilenleriň sany,1600.0
12.Gozgalmaýan emläk bilen bagly amallar, 2020,Döwlet,Ý.B. Işgärleriň sany,561.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,Döwlet,Işgärleriň sany,7900.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,Döwlet,Işden çykanlaryň sany,1100.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,Döwlet,Ý.B. Işgärler göterimde %,
12.Gozgalmaýan emläk bilen bagly amallar,2020,Döwlet,Kabul edilen ÝBI sany,114.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,Döwlet dahylsyz,Işgärleriň sany,1900.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,1400.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,Döwlet dahylsyz,Işden çykanlaryň sany,1100.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
12.Gozgalmaýan emläk bilen bagly amallar,2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,646.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,476.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,Işgärleriň sany,9800.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,Ý.B. Işgärleriň sany,1207.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,Kabul edilen ÝBI sany,590.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,27.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,ÝOM tamamlanlar,100.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,21.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,ÝOM kwota,100.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,Döredilen ýuridik şahslar,26.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,4296.0
12.Gozgalmaýan emläk bilen bagly amallar,2020,JEMI,Ortaça aýlyk haky,1556.0
"13.Hünärmenlik, ylmy we tehniki işler", 2020,Döwlet,Işe kabul edilenleriň sany,4600.0
"13.Hünärmenlik, ylmy we tehniki işler", 2020,Döwlet,Ý.B. Işgärleriň sany,8496.0
"13.Hünärmenlik, ylmy we tehniki işler",2020,Döwlet,Işgärleriň sany,22900.0
"13.Hünärmenlik, ylmy we tehniki işler",2020,Döwlet,Işden çykanlaryň sany,4200.0
"13.Hünärmenlik, ylmy we tehniki işler",2020,Döwlet,Ý.B. Işgärler göterimde %,
"13.Hünärmenlik, ylmy we tehniki işler",2020,Döwlet,Kabul edilen ÝBI sany,1707.0
"13.Hünärmenlik, ylmy we tehniki işler",2020,Döwlet dahylsyz,Işgärleriň sany,1900.0
"13.Hünärmenlik, ylmy we tehniki işler",2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,1000.0
"13.Hünärmenlik, ylmy we tehniki işler",2020,Döwlet dahylsyz,Işden çykanlaryň sany,700.0
"13.Hünärmenlik, ylmy we tehniki işler",2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
"13.Hünärmenlik, ylmy we tehniki işler",2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,1001.0
